code,group_name,equipment_group,spec_set,detail,type,unit,value_direction,unit_perceived_value,relative_value,is_baseline,is_active,commercial_category,notes
CO_0022,Convenience,Touch screen display,Multimedia connection,CarPlay/ Android Auto (USB),scale,,,0.00,260.00,false,true,Audio & Conectividade,vs. none
CO_0023,Convenience,Touch screen display,Multimedia connection,CarPlay/ Android Auto (Wireless),scale,,,0.00,320.00,false,true,Audio & Conectividade,vs. none
CO_0024,Convenience,Touch screen display,Built-In Navigation (GPS),Built-In Navigation (GPS),binary,,,2970.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0025,Convenience,Touch screen display,OTA (Over-the-Air),OTA (Over-the-Air),binary,,,800.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0026,Convenience,Sound system,Premium sound,Premium sound,binary,,,1710.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0027,Convenience,Sound system,Speakers,Speakers,numeric,unit,Positive,50.00,0.00,false,true,Audio & Conectividade,per each
CO_0028,Convenience,Sound system,Tweeters,Tweeters,numeric,unit,Positive,50.00,0.00,false,true,Audio & Conectividade,per each
CO_0029,Convenience,Sound system,Subwoofer,Subwoofer,numeric,unit,Positive,200.00,0.00,false,true,Audio & Conectividade,per each
CO_0030,Convenience,Sound system,Exterior amplifier,Exterior amplifier,numeric,unit,Positive,600.00,0.00,false,true,Audio & Conectividade,per each
CO_0031,Convenience,Sound system,Four Audio Zones(Voice command),Four Audio Zones(Voice command),binary,,,100.00,0.00,false,true,Audio & Conectividade,vs. none
CO_0032,Convenience,Cruise Control,Cruise Control,Cruise control,binary,,,0.00,350.00,false,true,Conforto,vs. none
CO_0033,Convenience,Cruise Control,Speed limitation system,Speed limitation system,binary,,,0.00,190.00,false,true,Conforto,vs. none
CO_0034,Convenience,Air Conditioner,A/C Type,Manual,scale,,,0.00,3300.00,false,true,Conforto,vs. none
CO_0035,Convenience,Air Conditioner,A/C Type,Full Auto,scale,,,0.00,4040.00,false,true,Conforto,vs. none
CO_0036,Convenience,Air Conditioner,A/C Type,Full Auto Dual Zone,scale,,,0.00,4590.00,false,true,Conforto,vs. none
CO_0037,Convenience,Air Conditioner,A/C Type,Full Auto Tri-Zone,scale,,,0.00,4570.00,false,true,Conforto,vs. none
CO_0038,Convenience,Air Conditioner,A/C Type,Full Auto Quad-Zone,scale,,,0.00,5390.00,false,true,Conforto,vs. none
CO_0039,Convenience,Air Conditioner,Cabin air filter,Cabin air filter,binary,,,50.00,0.00,false,true,Conforto,vs. none
CO_0040,Convenience,Air Conditioner,Air ionizer,Air ionizer,binary,,,50.00,0.00,false,true,Conforto,vs. none
CO_0041,Convenience,Air Conditioner,Rear air vent,Rear air vent,binary,,,260.00,0.00,false,true,Conforto,vs. none
CO_0042,Convenience,Auto Rear Window Defogger,Auto Rear Window Defogger,Auto Rear Window Defogger,binary,,,100.00,0.00,false,true,Conforto,vs. none
CO_0043,Convenience,Power windows,Power,Power,numeric,,Positive,150.00,0.00,false,true,Conforto,vs. manual (Power 150 each/ one-touch 100 each)
CO_0044,Convenience,Power windows,One-touch down,One-touch down,numeric,unit,Positive,50.00,0.00,false,true,Conforto,vs. manual (Power 150 each/ one-touch 100 each)
CO_0045,Convenience,Power windows,One-touch up & down,One-touch up & down,numeric,unit,Positive,110.00,0.00,false,true,Conforto,vs. manual (Power 150 each/ one-touch 100 each)
CO_0046,Convenience,Keyless entry,Smart Key,Smart Key,binary,,,900.00,0.00,false,true,Tecnologia,vs. none
CO_0047,Convenience,Keyless entry,NFC card,NFC card,binary,,,100.00,0.00,false,true,Tecnologia,vs. none
CO_0048,Convenience,Keyless entry,Button Start,Button Start,binary,,,200.00,0.00,false,true,Tecnologia,vs. none
CO_0049,Convenience,Keyless entry,Contactless Power-On,Contactless Power-On,binary,,,400.00,0.00,false,true,Tecnologia,vs. none
CO_0050,Convenience,Keyless entry,E/G Remote Control,E/G Remote Control,binary,,,370.00,0.00,false,true,Tecnologia,vs. none
CO_0051,Convenience,Fuel Filler Power Release,Fuel Filler Power Release,Fuel Filler Power Release,binary,,,100.00,0.00,false,true,Tecnologia,vs. none
CO_0052,Convenience,Retractable trunk cover,Retractable trunk cover,Retractable trunk cover,binary,,,50.00,0.00,false,true,Carga,vs. none
CO_0053,Convenience,USB port (Type C),FR,FR,numeric,unit,Positive,130.00,0.00,false,true,Audio & Conectividade,per each
CO_0054,Convenience,USB port (Type C),RR,RR,numeric,unit,Positive,130.00,0.00,false,true,Audio & Conectividade,per each
CO_0055,Convenience,Air Conditioner,Fragrance System,Fragrance System,binary,,,200.00,0.00,false,true,Conforto,
CO_1000,Convenience,Air Conditioner,A/C Type,None,scale,,,0.00,0.00,true,true,Conforto,vs. none
CO_1003,Convenience,Touch screen display,Multimedia connection,None,scale,,,0.00,0.00,true,true,Audio & Conectividade,vs. none
CO_1010,Convenience,Cruise Control,Cruise Control,None,scale,,,0.00,0.00,true,true,Conforto,vs. none
CO_1011,Convenience,TGS Knob,TGS Knob,Regular,scale,,,0.00,0.00,true,true,Dirigibilidade,vs. regular
CO_1014,Convenience,Wireless Charging Pad,Wireless Charger,None,scale,,,0.00,0.00,true,true,Tecnologia,vs. none
DM_0001,Dimensions,Length (mm),Length,Length,numeric,mm,Positive,0.00,0.00,false,true,Espaco,
DM_0002,Dimensions,Width (mm),Width,Width,numeric,mm,Positive,0.00,0.00,false,true,Espaco,
DM_0003,Dimensions,Height (mm),Height,Height,numeric,mm,Positive,0.00,0.00,false,true,Espaco,
DM_0004,Dimensions,Wheelbase (mm),Wheelbase,Wheelbase,numeric,mm,Positive,0.00,0.00,false,true,Espaco,
DM_0005,Dimensions,Ground clearance (mm),Ground clearance,Ground clearance,numeric,mm,Positive,0.00,0.00,false,true,Dirigibilidade,
DM_0006,Dimensions,Cargo space,Trunk,Trunk,numeric,L,Positive,0.00,0.00,false,true,Carga,
DM_0007,Dimensions,Cargo space,Total,Total,numeric,L,Positive,0.00,0.00,false,true,Carga,
DM_0008,Dimensions,Weight,Curb weight,Curb weight,numeric,kg,Negative,0.00,0.00,false,true,Dirigibilidade,
DM_0009,Dimensions,Weight,Gross vehicle weight,Gross vehicle weight,numeric,kg,Negative,0.00,0.00,false,true,Dirigibilidade,
DM_0010,Dimensions,Weight,Load capacity,Load capacity,numeric,kg,Positive,0.00,0.00,false,true,Dirigibilidade,
DM_0011,Dimensions,Weight,Maximum towing capacity,Maximum towing capacity,numeric,kg,Positive,0.00,0.00,false,true,Dirigibilidade,
EX_0001,Exterior,Rims,Alloy Wheels,Alloy Wheels,binary,,,720.00,0.00,false,true,Design,vs. Steel
EX_0002,Exterior,Rims,Wheels diameter,Wheels diameter,numeric,inch,Positive,270.00,0.00,false,true,Design,per inch
EX_0003,Exterior,Tires,Tires width,Tires width,numeric,mm,Positive,20.00,0.00,false,true,Seguranca,per mm
EX_0004,Exterior,Tires,Ratio,Ratio,numeric,mm,Negative,0.00,0.00,false,true,Design,
EX_0005,Exterior,Spare tire,Spare tire,Temporary,scale,,,0.00,200.00,false,true,Seguranca,vs. Kit
EX_0006,Exterior,Spare tire,Spare tire,Full Size,scale,,,0.00,410.00,false,true,Seguranca,vs. temporary
EX_0007,Exterior,Front illumination,Projection headlamp,Projection headlamp,binary,,,220.00,0.00,false,true,Seguranca,vs. conventional
EX_0008,Exterior,Front illumination,LED headlamps,Partial,scale,,,0.00,2180.00,false,true,Seguranca,vs. conventional
EX_0009,Exterior,Front illumination,LED headlamps,Full,scale,,,0.00,2630.00,false,true,Seguranca,vs. conventional
EX_0010,Exterior,Front illumination,Welcome function,Welcome function,binary,,,50.00,0.00,false,true,Seguranca,vs. none
EX_0011,Exterior,Front illumination,Auto Light Control,Auto Light Control,binary,,,120.00,0.00,false,true,Seguranca,vs. none
EX_0012,Exterior,Front illumination,IHC (Intelligent high beam control),IHC (Intelligent high beam control),binary,,,410.00,0.00,false,true,Seguranca,vs. none
EX_0013,Exterior,Front illumination,Electric height adjustment,Electric height adjustment,binary,,,50.00,0.00,false,true,Seguranca,vs. Manual
EX_0014,Exterior,Front illumination,DRL,Bulb,scale,,,0.00,140.00,false,true,Seguranca,vs. none
EX_0015,Exterior,Front illumination,DRL,LED,scale,,,0.00,480.00,false,true,Seguranca,vs. none
EX_0016,Exterior,Front illumination,LED decorative lights,LED decorative lights,binary,,,200.00,0.00,false,true,Seguranca,vs. none
EX_0017,Exterior,Front illumination,Fog lamps,Bulb,scale,,,0.00,420.00,false,true,Seguranca,vs. none
EX_0018,Exterior,Front illumination,Fog lamps,LED,scale,,,0.00,680.00,false,true,Seguranca,vs. none
EX_0019,Exterior,Front illumination,LED side turn signal lamp,LED side turn signal lamp,binary,,,200.00,0.00,false,true,Seguranca,vs. none
EX_0020,Exterior,Front illumination,FR dynamic turn signals,FR dynamic turn signals,binary,,,50.00,0.00,false,true,Seguranca,vs. conventional
EX_0021,Exterior,Front illumination,Door courtesy lamp,Door courtesy lamp,binary,,,60.00,0.00,false,true,Seguranca,vs. none
EX_0022,Exterior,Rear illumination,LED rear lamps,LED rear lamps,binary,,,640.00,0.00,false,true,Seguranca,vs. none
EX_0023,Exterior,Rear illumination,Fog lamps,Bulb,scale,,,0.00,420.00,false,true,Seguranca,vs. none
EX_0024,Exterior,Rear illumination,Fog lamps,LED,scale,,,0.00,680.00,false,true,Seguranca,vs. none
EX_0025,Exterior,Rear illumination,LED brake light,LED brake light,binary,,,50.00,0.00,false,true,Seguranca,vs. none
EX_0026,Exterior,Rear illumination,RR dynamic turn signals ,RR dynamic turn signals ,binary,,,50.00,0.00,false,true,Seguranca,vs. conventional
EX_0027,Exterior,O/S mirror,Power mirrors,Power mirrors,binary,,,170.00,0.00,false,true,Conforto,vs. manual
EX_0028,Exterior,O/S mirror,Electric folding,Electric folding,binary,,,270.00,0.00,false,true,Conforto,vs. manual
EX_0029,Exterior,O/S mirror,Memory function,Memory function,binary,,,100.00,0.00,false,true,Conforto,vs. manual
EX_0030,Exterior,O/S mirror,Tilt down,Right,scale,,,0.00,130.00,false,true,Conforto,vs. manual
EX_0031,Exterior,O/S mirror,Tilt down,Both,scale,,,0.00,130.00,false,true,Conforto,vs. manual
EX_0032,Exterior,O/S mirror,Heated,Heated,binary,,,110.00,0.00,false,true,Conforto,vs. none
EX_0033,Exterior,O/S mirror,O/S electrochromic mirror (ECM),O/S electrochromic mirror (ECM),binary,,,320.00,0.00,false,true,Conforto,vs. none
EX_0034,Exterior,O/S handles,Flush type,Flush type,binary,,,300.00,0.00,false,true,Design,vs. conventional
EX_0035,Exterior,Sunroof,Sunroof,Power compact,scale,,,0.00,2760.00,false,true,Design,vs. none
EX_0036,Exterior,Sunroof,Sunroof,Fixed glass roof,scale,,,0.00,3420.00,false,true,Design,vs. none
EX_0037,Exterior,Sunroof,Sunroof,Power panorama,scale,,,0.00,4040.00,false,true,Design,vs. none
EX_0038,Exterior,Roof rack,Roof rack,Roof rack,binary,,,450.00,0.00,false,true,Carga,vs. none
EX_0039,Exterior,Rear spoiler,Rear spoiler,Rear spoiler,binary,,,350.00,0.00,false,true,Design,vs. none
EX_0040,Exterior,Shark antenna,Shark antenna,Shark antenna,binary,,,50.00,0.00,false,true,Design,vs. conventional
EX_0041,Exterior,Tailgate,Power,Power,binary,,,2000.00,0.00,false,true,Carga,vs. none
EX_0042,Exterior,Tailgate,Hands Free,Hands Free,binary,,,550.00,0.00,false,true,Carga,vs. none
EX_0043,Exterior,Dual exhaust pipes,Dual exhaust pipes,Dual exhaust pipes,binary,,,290.00,0.00,false,true,Design,vs. conventional
EX_0044,Exterior,Rear illumination,Corner Window Charging Indicator Light,Corner Window Charging Indicator Light,binary,,,200.00,0.00,false,true,Design,vs. none
EX_1001,Exterior,Front illumination,Fog lamps,None,scale,,,0.00,0.00,true,true,Seguranca,vs. none
EX_1002,Exterior,Front illumination,DRL,None,scale,,,0.00,0.00,true,true,Seguranca,vs. none
EX_1006,Exterior,O/S mirror,Tilt down,Left,scale,,,0.00,130.00,false,true,Conforto,vs. manual
EX_1007,Exterior,Spare tire,Spare tire,Repair kit,scale,,,0.00,0.00,true,true,Seguranca,vs. Kit
EX_1009,Exterior,Sunroof,Sunroof,None,scale,,,0.00,0.00,true,true,Design,vs. none
EX_1012,Exterior,O/S mirror,Tilt down,None,scale,,,0.00,0.00,true,true,Conforto,vs. manual
EX_1016,Exterior,Front illumination,LED headlamps,None,scale,,,0.00,0.00,true,true,Seguranca,vs. conventional
EX_1018,Exterior,Rear illumination,Fog lamps,None,scale,,,0.00,0.00,true,true,Seguranca,vs. none
IN_0001,Interior,Seat Material,Seat Material,Fabric,scale,,,0.00,0.00,true,true,Acabamento,
IN_0002,Interior,Seat Material,Seat Material,Fabric + artificial leather,scale,,,0.00,730.00,false,true,Acabamento,vs. fabric
IN_0003,Interior,Seat Material,Seat Material,Artificial leather,scale,,,0.00,1710.00,false,true,Acabamento,vs. fabric
IN_0004,Interior,Seat Material,Seat Material,Leather,scale,,,0.00,3190.00,false,true,Acabamento,vs. fabric
IN_0005,Interior,Door panel finish,Soft-touch (FR),Soft-touch (FR),binary,,,100.00,0.00,false,true,Acabamento,vs. plastic
IN_0006,Interior,Door panel finish,Soft-touch (RR),Soft-touch (RR),binary,,,100.00,0.00,false,true,Acabamento,vs. plastic
IN_0007,Interior,Dashboard finish,Soft-Touch,Soft-Touch,binary,,,100.00,0.00,false,true,Acabamento,vs. plastic
IN_0008,Interior,FR seat adjustament,Power seat (Driver),Power seat (Driver),binary,,,600.00,0.00,false,true,Conforto,vs. none
IN_0009,Interior,FR seat adjustament,Power seat (Passenger),Power seat (Passenger),binary,,,600.00,0.00,false,true,Conforto,vs. none
IN_0010,Interior,FR seat adjustament,Manual lumbar adjusment (Driver),Manual lumbar adjusment (Driver),binary,,,80.00,0.00,false,true,Conforto,vs. none
IN_0011,Interior,FR seat adjustament,Manual lumbar adjusment (passenger),Manual lumbar adjusment (passenger),binary,,,50.00,0.00,false,true,Conforto,vs. none
IN_0012,Interior,FR seat adjustament,Electric lumbar adjusment (Driver),Electric lumbar adjusment (Driver),binary,,,150.00,0.00,false,true,Conforto,vs. none
IN_0013,Interior,FR seat adjustament,Electric lumbar adjusment (passenger),Electric lumbar adjusment (passenger),binary,,,150.00,0.00,false,true,Conforto,vs. none
IN_0014,Interior,FR seat adjustament,Leg power adjustment (driver),Leg power adjustment (driver),binary,,,150.00,0.00,false,true,Conforto,vs. none
IN_0015,Interior,FR seat adjustament,Leg power adjustment (passenger),Leg power adjustment (passenger),binary,,,150.00,0.00,false,true,Conforto,vs. none
IN_0016,Interior,FR seat adjustament,Memory function (Driver),Memory function (Driver),binary,,,300.00,0.00,false,true,Conforto,vs. none
IN_0017,Interior,FR seat adjustament,Memory function (Passenger),Memory function (Passenger),binary,,,300.00,0.00,false,true,Conforto,vs. none
IN_0018,Interior,FR seat adjustament,Welcome function (Driver),Welcome function (Driver),binary,,,100.00,0.00,false,true,Conforto,vs. none
IN_0019,Interior,Headrest adjustment,Front row headrest adjustment,Front row headrest adjustment,binary,,,20.00,0.00,false,true,Conforto,vs. none
IN_0020,Interior,Headrest adjustment,Second row headrest adjustment,Second row headrest adjustment,binary,,,20.00,0.00,false,true,Conforto,vs. none
IN_0021,Interior,RR seat adjustment,Reclining,Reclining,binary,,,260.00,0.00,false,true,Conforto,vs. none
IN_0022,Interior,RR seat adjustment,Split bench (60/40),Split bench (60/40),binary,,,350.00,0.00,false,true,Conforto,vs. fixed bench
IN_0023,Interior,RR seat adjustment,Split bench (4/2/4),Split bench (4/2/4),binary,,,270.00,0.00,false,true,Conforto,vs. fixed bench
IN_0024,Interior,RR seat adjustment,Luggage flat floor,Luggage flat floor,binary,,,570.00,0.00,false,true,Carga,vs. fixed bench
IN_0025,Interior,Seat heating,Heated (Driver),Heated (Driver),binary,,,550.00,0.00,false,true,Conforto,vs. none
IN_0026,Interior,Seat heating,Heated (Passenger),Heated (Passenger),binary,,,550.00,0.00,false,true,Conforto,vs. none
IN_0027,Interior,Seat heating,Heating (RR seat),Heating (RR seat),binary,,,860.00,0.00,false,true,Conforto,vs. none
IN_0028,Interior,Seat ventilation,Ventilated (Driver),Ventilated (Driver),binary,,,600.00,0.00,false,true,Conforto,vs. none
IN_0029,Interior,Seat ventilation,Ventilated (Passenger),Ventilated (Passenger),binary,,,600.00,0.00,false,true,Conforto,vs. none
IN_0030,Interior,Seat massage,Massage (driver),Massage (driver),binary,,,250.00,0.00,false,true,Conforto,vs. none
IN_0031,Interior,Seat massage,Massage (Passenger),Massage (Passenger),binary,,,250.00,0.00,false,true,Conforto,vs. none
IN_0032,Interior,Seat massage,VIP seat (Passenger),VIP seat (Passenger),binary,,,250.00,0.00,false,true,Conforto,vs. none
IN_0033,Interior,Steering Wheel,Power Steering (EPS),Power Steering (EPS),binary,,,1080.00,0.00,false,true,Conforto,vs power steering
IN_0034,Interior,Steering Wheel,Steering Wheel,Tilt,scale,,,0.00,110.00,false,true,Conforto,vs. none
IN_0035,Interior,Steering Wheel,Steering Wheel,Tilt & Telescopic,scale,,,0.00,330.00,false,true,Conforto,vs. none
IN_0036,Interior,Steering Wheel,Steering Wheel,Electric tilt & Telescopic,scale,,,0.00,570.00,false,true,Conforto,vs. none
IN_0037,Interior,Steering Wheel,Leather steering wheel,Leather steering wheel,binary,,,260.00,0.00,false,true,Acabamento,vs. PVC
IN_0038,Interior,Steering Wheel,Heated,Heated,binary,,,570.00,0.00,false,true,Conforto,vs. none
IN_0039,Interior,Steering Wheel,Audio remote control,Audio remote control,binary,,,170.00,0.00,false,true,Audio & Conectividade,vs. none
IN_0040,Interior,Interior lighting,Ambient light,Ambient light,binary,,,100.00,0.00,false,true,Design,vs. none
IN_0041,Interior,Interior lighting,Reading lamps,Bulb,scale,,,0.00,40.00,false,true,Design,vs. none
IN_0042,Interior,Interior lighting,Reading lamps,LED,scale,,,0.00,60.00,false,true,Design,vs. Bulb
IN_0043,Interior,Interior lighting,Luggage lamp,Bulb,scale,,,0.00,40.00,false,true,Design,vs. none
IN_0044,Interior,Interior lighting,Luggage lamp,LED,scale,,,0.00,30.00,false,true,Design,vs. none
IN_0045,Interior,Sunvisor,Illumination,Bulb,scale,,,0.00,40.00,false,true,Conforto,vs. none
IN_0046,Interior,Sunvisor,Illumination,LED,scale,,,0.00,50.00,false,true,Conforto,vs. none
IN_0047,Interior,Sunvisor,Vanity mirror,Vanity mirror,binary,,,50.00,0.00,false,true,Conforto,vs. none
IN_0048,Interior,Sunglasses holder,Sunglasses holder,Sunglasses holder,binary,,,30.00,0.00,false,true,Conforto,vs. none
IN_0049,Interior,Inside Mirror,I/S electrochromic mirror (ECM),I/S electrochromic mirror (ECM),binary,,,310.00,0.00,false,true,Tecnologia,vs. day & night
IN_0050,Interior,Inside Mirror,Digital,Digital,binary,,,860.00,0.00,false,true,Tecnologia,vs. day & night
IN_0051,Interior,Glove box,Cooling,Cooling,binary,,,140.00,0.00,false,true,Conforto,vs. none
IN_0052,Interior,Glove box,Illuminated,Illuminated,binary,,,20.00,0.00,false,true,Conforto,vs. none
IN_0053,Interior,Glove box,Damped,Damped,binary,,,50.00,0.00,false,true,Conforto,vs. none
IN_0054,Interior,Front armrest,FR armrest,FR armrest,binary,,,210.00,0.00,false,true,Conforto,vs. none
IN_0055,Interior,Front armrest,RR armrest,RR armrest,binary,,,210.00,0.00,false,true,Conforto,vs. none
IN_0056,Interior,Storage box,Storage box,Storage box,binary,,,50.00,0.00,false,true,Conforto,
IN_0057,Interior,Storage box,Illuminated,Illuminated,binary,,,20.00,0.00,false,true,Conforto,vs. none
IN_0058,Interior,Storage box,Cooling,Cooling,binary,,,110.00,0.00,false,true,Conforto,vs. none
IN_0059,Interior,Seat ventilation,Ventilated (RR),Ventilated (RR),binary,,,600.00,0.00,false,true,Conforto,vs. none
IN_0060,Interior,I/S door handles,Electric handles (FR),Electric handles (FR),binary,,,200.00,0.00,false,true,Conforto,vs. none
IN_0061,Interior,I/S door handles,Electric handles (RR),Electric handles (RR),binary,,,200.00,0.00,false,true,Conforto,vs. none
IN_0062,Interior,FR seat adjustament,Power seat (RR left),Power seat (RR left),binary,,,600.00,0.00,false,true,Conforto,
IN_0063,Interior,FR seat adjustament,Power seat (RR right),Power seat (RR right),binary,,,600.00,0.00,false,true,Conforto,
IN_0064,Interior,FR seat adjustament,Memory function (RR),Memory function (RR),binary,,,600.00,0.00,false,true,Conforto,
IN_0065,Interior,Seat massage,Massage (RR),Massage (RR),binary,,,500.00,0.00,false,true,Conforto,
IN_1004,Interior,Interior lighting,Reading lamps,None,scale,,,0.00,0.00,true,true,Design,vs. none
IN_1005,Interior,Interior lighting,Luggage lamp,None,scale,,,0.00,0.00,true,true,Design,vs. none
IN_1013,Interior,Steering Wheel,Steering Wheel,Fixed,scale,,,0.00,0.00,true,true,Conforto,vs. none
IN_1019,Interior,Sunvisor,Illumination,None,scale,,,0.00,0.00,true,true,Conforto,vs. none
OW_0001,Ownership,Inmetro,FE,FE,numeric,MJ/Km,Negative,0.00,0.00,false,true,Ownership,
OW_0002,Ownership,Inmetro,Urban (gasoline),Urban (gasoline),numeric,km/L,Positive,0.00,0.00,false,true,Ownership,
OW_0003,Ownership,Inmetro,Road (gasoline),Road (gasoline),numeric,km/L,Positive,0.00,0.00,false,true,Ownership,
OW_0004,Ownership,Inmetro,Urban (ethanol),Urban (ethanol),numeric,km/L,Positive,0.00,0.00,false,true,Ownership,
OW_0005,Ownership,Inmetro,Road (ethanol),Road (ethanol),numeric,km/L,Positive,0.00,0.00,false,true,Ownership,
